trial,slope,tau_ms,weight_subthreshold,lr,polyak_alpha,polyak_beta,grad_clip_norm,init_dist,init_C_m,init_g_L,init_v_reset,init_v_T,init_E_L,init_delta_T,final_loss,min_loss,gamma,n_spikes_sim,elapsed_s
776,6.381631321056253,3.297193582940864,0.12918297074425023,0.01241376579439358,0.0,0.0,0.7883595295220206,0.23763056092621473,238.50068867465805,8.657873207700757,-67.75936294480927,-53.7117712350027,-80.92911037275753,9.988441849329138,5.624906063079834,5.608205318450928,-0.02610441767068273,3,1.2287092208862305
777,2.046063117997097,3.0280963920777295,0.024575965255598308,0.017656716947335366,0.0,0.0,3.9460344753683194,0.3919750115744505,191.79912019590597,10.099958654846294,-79.46044069006994,-47.932815241830106,-107.51657192323515,16.70894122914712,5.248016834259033,5.248016834259033,nan,0,5.769707918167114
778,7.842905187285198,2.519484504173274,0.08269963013614987,0.011320928365239883,0.0,0.0,5.404131719204608,0.35443879352310037,36.14135954648115,7.735632119726526,-63.901216502180986,-55.12039861498964,-85.73510179113357,9.7532700644874,12.012903213500977,12.012903213500977,-1.0,24,1.0167579650878906
779,8.627169647010565,2.270442724007972,0.1966474105676905,0.026416580909225433,0.0,0.0,0.2983122099831465,0.37589891827681066,229.08020051097643,6.706988506596909,-59.81437831060074,-41.990009758900406,-104.25678459248647,13.092780427390629,7.39880895614624,7.39880895614624,nan,0,1.003152847290039
780,2.9155030956644943,2.2338944661784166,0.09258460278282571,0.012012487037545976,0.0,0.0,1.5556918684255743,0.3859357607558052,208.77498245906003,12.300445147425249,-47.26902583498297,-41.98535758147638,-92.27059266474572,18.488576307225408,5.527855396270752,5.527855396270752,nan,0,0.9920041561126709
781,9.228539968575468,2.2066457154169834,0.2992945782364531,0.012109170406702806,0.0,0.0,0.2061597151483286,0.22563291061511478,61.832056551404165,10.669618228200115,-53.20197192168657,-38.19297082511302,-68.75560410077405,2.6145373401648997,7.7961015701293945,7.7961015701293945,0.27963525835866265,12,0.9959931373596191
782,4.8173455878372495,3.2755800802691555,0.27489061017449434,0.02069870875262094,0.0,0.0,8.251896007458747,0.38914939370604956,176.99360897446488,7.6328343475281235,-52.73081954796024,-42.48275670165978,-101.83914386298603,16.82377327597104,8.132426261901855,8.04257869720459,0.12967032967032968,1,0.974470853805542
783,6.232532316166554,2.702821702799076,0.1755929713756571,0.005751973506581933,0.0,0.0,0.31945418207071763,0.2239677945572118,116.21142492426917,10.350849215208349,-46.00086862597866,-43.58436031201753,-83.51465847388502,1.3184926749115857,5.729732990264893,5.729732990264893,0.2,5,1.0085959434509277
784,9.854170569367614,2.4332668764117447,0.2900841415904791,0.022611268257973594,0.0,0.0,2.839685587291397,0.4077921727913352,55.819412071606095,6.212523368399502,-68.33406509993476,-51.38729117431691,-86.13514683236703,14.105600492857828,7.518808364868164,7.281705379486084,0.34117647058823536,11,1.0157220363616943
785,3.9345927470723936,3.383770185411806,0.2604051883297566,0.015993452376896897,0.0,0.0,0.28988509674292423,0.24810608192540415,51.24938953615203,10.81323536647794,-47.90583039148826,-55.3748035960198,-80.34103863805862,1.8661936837862403,nan,10651.2294921875,nan,0,1.0257501602172852
786,8.225013785291072,3.3736991315329337,0.0956695556521461,0.014190448393426086,0.0,0.0,1.7065062600439316,0.23018715932078596,132.16395588695858,11.932314056846238,-78.80853765834499,-51.65836522143664,-70.49193565736049,5.284116120200734,5.1026291847229,4.9316086769104,0.1295774647887324,6,1.0165669918060303
787,3.5247916193703666,3.0783365847139956,0.22487887379559282,0.026195276989213187,0.0,0.0,2.082229591050493,0.23970734504715144,176.26114751101017,10.897906191419958,-74.27093169141767,-41.457312150454214,-86.05635531355111,3.128490213799381,6.380755424499512,6.380755424499512,nan,0,1.0447161197662354
788,8.092528461294165,3.8699156337317016,0.041049535201184206,0.02865667421015669,0.0,0.0,0.4537913433541917,0.31175207249548714,228.35542275101207,9.935696233148274,-53.92217078189489,-54.557493361856615,-103.82675557680416,15.084828746468455,5.823441982269287,5.823381423950195,nan,0,1.0171210765838623
789,6.206972229195103,2.7708284628828426,0.2053654273136223,0.03509383806342563,0.0,0.0,4.341779171006356,0.31256853816600483,164.97956106842787,8.192861501631139,-53.880079756949954,-47.37519347453743,-94.31312345086671,15.950944532113548,6.613906383514404,6.587716579437256,0.24660397074190177,2,0.9885318279266357
790,2.5553791046413137,3.671725942538586,0.14732454794837413,0.011851494659564078,0.0,0.0,5.8985028894213345,0.22016771013698003,151.86003193470782,10.058146927775972,-52.94125161371629,-46.37929100484977,-67.76595051798851,16.54305816296207,4.913754463195801,4.913754463195801,0.06156716417910444,7,1.0070393085479736
791,4.4332478909977455,2.1502788158643926,0.005047781775847415,0.010617143727893427,0.0,0.0,5.1302657283847415,0.374386962213953,92.3831417302453,9.719354004370068,-46.49334259566141,-37.619890130152086,-101.39665080645598,6.211772823643627,4.671162128448486,4.671162128448486,nan,0,0.9907031059265137
792,3.517538526453836,3.479662188077009,0.08226894671711123,0.025900736034791604,0.0,0.0,0.4587715087576539,0.49838587799109924,93.81671945325357,13.038792289151232,-47.54039408366575,-39.94149397993502,-97.5931199272882,17.8542313260694,5.683832168579102,5.683832168579102,nan,0,1.0090150833129883
793,1.2420297342634568,3.97689482766386,0.28661466522127454,0.01908863454848029,0.0,0.0,3.0809206850729827,0.2929343318974896,17.56265896636065,9.382427847124145,-66.78299786838919,-46.61900985238566,-84.7711749244327,5.28268525002572,19.85894012451172,19.85894012451172,-1.0,27,0.9933807849884033
794,0.7834303159471261,3.6931964325756335,0.0947494455265442,0.021417636856941175,0.0,0.0,1.3151688371601236,0.422489441431098,57.04781164072392,12.428532734337242,-77.33311207560547,-47.66784890344886,-101.37591170310445,7.071777277298576,6.474372863769531,6.474372863769531,nan,0,1.0180799961090088
795,3.791547226368219,3.1593294386201185,0.0544363365904322,0.017967717530106578,0.0,0.0,1.5319925345978815,0.18685403456330466,73.77771640956188,11.668177807577631,-64.03927888469077,-52.51395413884741,-72.58916009089077,2.630107684525238,7.5263848304748535,7.5263848304748535,0.054750402576489825,18,1.033036231994629
796,0.6808244042661225,3.2535321286543213,0.0562594339716625,0.029625318460641047,0.0,0.0,0.9012601535973968,0.3161935364072302,186.26294845893725,7.986502063202383,-47.86932720806261,-59.86102286576128,-84.95014981882973,12.823034696524282,4.243652820587158,4.243652820587158,0.22009569377990437,10,1.3259611129760742
797,2.072133697026863,2.7065790988738936,0.1437639793925847,0.0077448122283653885,0.0,0.0,1.5868003804847748,0.32617019438409844,142.77907650878709,12.520122337592099,-76.07425971706661,-49.611099892685395,-71.13184521410119,17.88597048205083,5.458374977111816,5.458374977111816,0.2,5,1.1061267852783203
798,7.389241548083254,3.358970436516208,0.2527947722011605,0.017975547916427484,0.0,0.0,0.1867705148983553,0.2821150438314782,124.61921274491607,10.463735150960638,-53.26320458285348,-40.509740142533964,-70.03634152223626,17.033290584477818,6.07740592956543,6.07740592956543,-0.0488262910798122,6,0.9976999759674072
799,7.226866738994085,3.540790766362654,0.22740052954000395,0.007195679200426272,0.0,0.0,0.6571953262738918,0.2675219323426048,105.3173619587877,11.198026611773253,-63.08676597483931,-57.050963339496704,-73.02435859977219,12.433507064309628,5.857988357543945,5.856592178344727,0.0871327254305978,12,1.0081019401550293
800,7.516513671345136,3.996456962235708,0.13105560226133228,0.012770912920266999,0.0,0.0,0.22664363344561067,0.4305053775115941,23.34119687535989,11.414946232071781,-70.09146374360144,-58.268369782082985,-82.70349883923599,14.911964428455628,36.506465911865234,36.118492126464844,-1.0,37,1.013674020767212
801,3.5129551257347984,2.984925834000866,0.06261806503108816,0.02306555068488554,0.0,0.0,0.36325454926166645,0.25007116602115537,128.97538769394316,6.04518618856074,-59.80910420700888,-59.834773117051,-68.3116264416297,6.078797996775989,7.532232284545898,6.779966354370117,-0.25120772946859865,18,0.9933390617370605
