scenario_idx,base,method,delta,direction_idx,iter,loss
7,tonic,nm,0.1,7,5,0.977763295173645
7,tonic,nm,0.1,7,6,2.9216530323028564
7,tonic,nm,0.1,7,7,8.012635231018066
7,tonic,nm,0.1,7,8,0.6091100573539734
7,tonic,nm,0.1,7,9,2.3771157264709473
7,tonic,nm,0.1,7,10,0.9098477959632874
7,tonic,nm,0.1,7,11,3.232515335083008
7,tonic,nm,0.1,7,12,0.731624186038971
7,tonic,nm,0.1,7,13,2.0503580570220947
7,tonic,nm,0.1,7,14,0.4287930428981781
7,tonic,nm,0.1,7,15,1.2160474061965942
7,tonic,nm,0.1,7,16,0.45360267162323
7,tonic,nm,0.1,7,17,1.3424841165542603
7,tonic,nm,0.1,7,18,0.37105435132980347
7,tonic,nm,0.1,7,19,1.1312377452850342
7,tonic,nm,0.1,7,20,0.33901169896125793
7,tonic,nm,0.1,7,21,0.6841942071914673
7,tonic,nm,0.1,7,22,0.3149402141571045
7,tonic,nm,0.1,7,23,0.4584982395172119
7,tonic,nm,0.1,7,24,0.3196244537830353
8,tonic,grad,0.1,8,0,1.2693120241165161
8,tonic,grad,0.1,8,1,0.11071806401014328
8,tonic,grad,0.1,8,2,0.7162733674049377
8,tonic,grad,0.1,8,3,0.6071222424507141
8,tonic,grad,0.1,8,4,0.18614628911018372
8,tonic,grad,0.1,8,5,0.06997478008270264
8,tonic,grad,0.1,8,6,0.22892411053180695
8,tonic,grad,0.1,8,7,0.356272429227829
8,tonic,grad,0.1,8,8,0.3055933117866516
8,tonic,grad,0.1,8,9,0.15415197610855103
8,tonic,grad,0.1,8,10,0.037359483540058136
8,tonic,grad,0.1,8,11,0.037929583340883255
8,tonic,grad,0.1,8,12,0.11757563799619675
8,tonic,grad,0.1,8,13,0.16932299733161926
8,tonic,grad,0.1,8,14,0.13548420369625092
8,tonic,grad,0.1,8,15,0.060639139264822006
8,tonic,grad,0.1,8,16,0.014263469725847244
8,tonic,grad,0.1,8,17,0.026113275438547134
8,tonic,grad,0.1,8,18,0.06869400292634964
8,tonic,grad,0.1,8,19,0.09453991800546646
8,tonic,grad,0.1,8,20,0.08245424926280975
8,tonic,grad,0.1,8,21,0.04558345675468445
8,tonic,grad,0.1,8,22,0.017689259722828865
8,tonic,grad,0.1,8,23,0.019671451300382614
8,tonic,grad,0.1,8,24,0.04320564121007919
8,tonic,nm,0.1,8,0,1.2693120241165161
8,tonic,nm,0.1,8,1,1.1349824666976929
8,tonic,nm,0.1,8,2,4.262228488922119
8,tonic,nm,0.1,8,3,0.7153350114822388
8,tonic,nm,0.1,8,4,15.32196044921875
8,tonic,nm,0.1,8,5,0.7817192077636719
8,tonic,nm,0.1,8,6,0.2721388041973114
8,tonic,nm,0.1,8,7,0.8651442527770996
8,tonic,nm,0.1,8,8,1.6168091297149658
8,tonic,nm,0.1,8,9,0.4214679002761841
8,tonic,nm,0.1,8,10,2.062492609024048
8,tonic,nm,0.1,8,11,0.2518511116504669
8,tonic,nm,0.1,8,12,1.0671472549438477
8,tonic,nm,0.1,8,13,0.28757649660110474
8,tonic,nm,0.1,8,14,0.5964531302452087
8,tonic,nm,0.1,8,15,0.20758987963199615
8,tonic,nm,0.1,8,16,0.7165118455886841
8,tonic,nm,0.1,8,17,0.1469467282295227
